peas frozen 80 g	55.00	3.90	6.00	3.90	0.60	0.00	4.80	0.00
tofu 70 g	86.00	8.80	2.00	0.50	4.80	0.70	0.60	0.07
edamame 100 g	196.00	14.40	5.30	1.70	11.70	2.00	6.00	0.10
burger 100 g	182.00	16.20	9.80	1.90	8.20	3.20	3.50	1.40
alpro almond yoghurt 100 g	54.00	3.90	2.30	2.20	2.80	0.40	1.10	0.25
alpro greek yoghurt 100 g	68.00	5.80	2.60	2.50	3.30	0.60	1.50	0.36
soya milk 100 ml	33.00	3.30	0.00	0.00	1.80	0.30	0.60	0.09
spinach 100 g	30.00	2.80	1.50	1.50	0.80	0.10	2.70	0.40
courgette 100 g	20.00	1.80	1.80	1.70	0.40	0.10	0.90	0.00
sausage 2 piece	167.00	15.00	5.10	1.20	9.00	0.70	3.30	1.20
beetroot 100 g	41.00	1.20	7.50	6.70	0.20	0.10	2.40	0.20
chickpeas drained 100 g 	126.00	7.20	15.70	0.00	2.20	0.30	7.40	0.02
taco beans mix 197 g	174.00	10.00	25.80	8.10	1.20	0.30	9.90	0.80
kidney beans drained 100 g	109.00	6.90	16.20	0.00	0.50	0.00	6.20	0.05
tesco couscius cooked 80 g  132.00	5.00	25.00	1.30	0.70	0.10	2.40	0.00
wrap 1 piece	164.00	4.80	34.60	1.30	2.00	0.30	6.00	0.30
mushroom 100 g	30.60	2.30	5.70	2.50	0.00	0.00	2.30	0.00
banana medium 118 g	105.00	1.30	27.00	14.00	0.40	0.10	3.10	0.00
Avocado 1 piece	322.00	4.00	17.00	1.30	29.00	4.30	13.00	1.00
rice cooked 200 g	350.00	6.70	79.00	0.00	0.70	0.30	1.00	0.00
Fruit nut mix 100 g	476.00	13.00	43.60	31.50	28.60	2.90	0.00	0.00
oat tesco one bag 50 g	181.00	5.20	30.30	0.60	3.50	0.50	4.20	0.00
peanut butter 20 g	119.00	5.30	2.90	1.20	9.60	1.30	1.50	0.10
Quinoa Bulgar wheat cooked 80 g 	122.00	4.20	22.60	0.60	1.10	0.20	2.50	0.10
wholemeal bread 1 slice	93.00	4.10	15.40	1.70	1.10	0.20	2.50	0.38
brocolli 100 g	36.40	2.50	7.60	1.40	0.00	0.00	3.40	0.00
ramen 100 g 	422.00	8.20	68.00	3.00	13.00	6.10	0.00	0.00
apple 100 g	53.00	0.40	11.80	11.80	0.10	0.00	1.80	0.00
Sweet potato M uncooked 114 g 	103.00	2.30	24.00	7.40	0.20	0.10	3.90	0.04
wholemeal bread 1 slice	93.00	4.10	15.40	1.70	1.10	0.20	2.50	0.38
