roast beef thin 1 slice	33.00	6.70	0.20	0.10	0.60	0.20	0.00	0.10
cheese spread 30 g	45.00	2.20	1.50	1.50	3.30	2.20	0.10	0.21
Bread 1 slice	85.00	3.10	11.60	0.80	2.50	0.40	1.80	0.28
semi skimmed Milk per 100 ml	50.00	3.60	4.80	4.80	1.80	1.10	0.00	0.11
chicken breast 100 g	106.00	24.00	0.00	0.00	1.10	0.30	0.00	0.20
olive oil 7.5 ml	67.50	0.00	0.00	0.00	7.50	1.10	0.00	0.00
Cauliflour 100 g	25.00	2.00	5.00	2.00	0.00	0.00	3.00	0.30
Okra 50 g	12.60	1.00	2.50	1.30	0.10	0.00	1.40	0.34
Coffee with oat 100 ml	46.00	1.00	6.60	4.10	1.50	0.20	0.80	0.10
Choux pastry 25 g	88.00	4.40	3.70	0.10	6.00	3.50	0.10	1.36
egg sainsburys L 1 piece	85.00	8.30	0.00	0.00	5.70	1.60	0.00	0.22
egg sainsburys M 1 piece	72.00	7.10	0.00	0.00	4.80	1.40	0.00	0.19
green beans 80 g	25.00	1.70	2.50	1.80	0.30	0.00	2.70	0.00
prawns 80 g	51.00	11.90	0.00	0.00	0.40	0.20	0.00	1.00
bubble tea 16 oz	278.00	1.20	68.00	22.00	0.60	0.40	0.50	0.00
baked beans heinz 0.5 can	136.00	9.50	19.60	3.90	0.40	0.00	7.50	0.90
sunflower oil 7.5 ml	67.50	0.00	0.00	0.00	7.50	0.00	0.00	0.00
thin pasta cooked 100 g	176.00	5.80	35.70	1.10	0.70	0.20	2.20	0.10
pasta sauce 100 g	37.00	1.50	6.00	4.60	0.50	0.20	1.30	0.73
kidney beans 130 g	145.00	10.00	17.60	0.90	1.00	0.20	12.50	0.10
brown rice 100 g	143.00	3.30	31.20	0.20	1.10	0.00	1.50	0.00
quaker golden syrup 36 g	143.00	3.10	26.00	6.90	2.60	0.30	2.10	0.00
custard 100 g	105.00	2.50	16.70	10.70	3.00	1.40	0.00	0.15
cereal 30 g	113.00	2.10	25.00	2.40	0.00	0.00	0.90	0.00
ham thin 1 slice	13.00	1.80	0.10	0.10	0.60	0.20	0.10	0.10
chicken thigh fillets 100 g	161.00	18.30	0.00	0.00	9.80	2.60	0.00	0.00
quaker original without milk 36g	143.00	8.10	20.00	0.40	2.90	0.40	2.70	0.00
quaker original with milk 190 ml	238.00	15.00	29.00	9.60	6.30	2.50	2.70	0.27
